Group,Skill,Individual,ORCID,Affiliation
Drug Discovery Group,In-vivo efficacy evaluation,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Development Group,Pre-clinical pharmacology,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 3 trials,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 2 trials,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Marketing authorization application (MAA),Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 1 trials,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Investigational new drug (IND) submission,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 4 trials and Pharmacovigilance,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project communication and dissemination,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Ethics and ELSI,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project management,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Legal expertise,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Target identification,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,In-vivo modelling,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit confirmation | hit validation,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Target validation,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Pre-clinical pharmacology,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 3 trials,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 2 trials,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Marketing authorization application (MAA),Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 1 trials,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Investigational new drug (IND) submission,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 4 trials and Pharmacovigilance,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project management,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Communication and Project Management Group,Legal expertise,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Medicinal chemistry,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Natural products,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Mechanism of action (MoA),Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit confirmation | hit validation,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project management,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Medicinal chemistry,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Pharmacokinetics (PK),Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,High-throughput screening (HTS),Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,In-vitro toxicity testing - Ames,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit confirmation | hit validation,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Pro-drugs,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Development Group,Data management,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Communication and Project Management Group,Project management,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Medicinal chemistry,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Target identification,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Mechanism of action (MoA),Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Hit confirmation | hit validation,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Development Group,Clinical statistics,Martin Hofmann-Apitius,https://orcid.org/0000-0001-9012-6720,Fraunhofer-Gesellschaft
Drug Development Group,Data management,Martin Hofmann-Apitius,https://orcid.org/0000-0001-9012-6720,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project communication and dissemination,Martin Hofmann-Apitius,https://orcid.org/0000-0001-9012-6720,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project management,Martin Hofmann-Apitius,https://orcid.org/0000-0001-9012-6720,Fraunhofer-Gesellschaft
Drug Discovery Group,Target identification,Martin Hofmann-Apitius,https://orcid.org/0000-0001-9012-6720,Fraunhofer-Gesellschaft
Drug Discovery Group,Biological discovery,Martin Hofmann-Apitius,https://orcid.org/0000-0001-9012-6720,Fraunhofer-Gesellschaft
Drug Development Group,Pre-clinical pharmacology,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Development Group,Clinical study design,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project management,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Pharmacodynamics (PD),Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Pharmacokinetics (PK),Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Target identification,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Biological discovery,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,High-throughput screening (HTS),Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Mechanism of action (MoA),Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit confirmation | hit validation,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,In-vivo efficacy evaluation,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Discovery Group,Target validation,Aimo Kannt,https://orcid.org/0000-0002-5197-2286,Fraunhofer-Gesellschaft
Drug Development Group,Investigational new drug (IND) submission,Rok Dreu,https://orcid.org/0000-0002-5722-6022,Ljubljana University
Communication and Project Management Group,Project management,Rok Dreu,https://orcid.org/0000-0002-5722-6022,Ljubljana University
Drug Discovery Group,Drug delivery,Rok Dreu,https://orcid.org/0000-0002-5722-6022,Ljubljana University
Drug Discovery Group,Drug Formulation,Rok Dreu,https://orcid.org/0000-0002-5722-6022,Ljubljana University
Communication and Project Management Group,Project management,Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Medicinal chemistry,Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Target identification,Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,High-throughput screening (HTS),Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Mechanism of action (MoA),Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Hit confirmation | hit validation,Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Target validation,Annika Jenmalm Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Development Group,Adaptive trial design,Päivi Östling, https://orcid.org/0000-0001-5501-466X,Karolinska Institutet
Communication and Project Management Group,Project management,Päivi Östling, https://orcid.org/0000-0001-5501-466X,Karolinska Institutet
Drug Discovery Group,High-throughput screening (HTS),Päivi Östling, https://orcid.org/0000-0001-5501-466X,Karolinska Institutet
Drug Discovery Group,Pharmacokinetics (PK),Igor Locatelli, https://orcid.org/0000-0002-0052-8986,Ljubljana University
Drug Development Group,Pre-clinical pharmacology,Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Development Group,Health technology assessment,Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Development Group,Analytical Techniques,Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Communication and Project Management Group,Project communication and dissemination,Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Pharmacodynamics (PD),Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Pharmacokinetics (PK),Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Biological discovery,Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Mechanism of action (MoA),Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Drug combinations,Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Maddalena Fratelli,https://orcid.org/0000-0002-1769-3427,Mario Negri Institute for Pharmacological Research
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Simon Žakelj,https://orcid.org/0000-0002-4967-7114,Ljubljana University
Drug Discovery Group,Medicinal chemistry,Flavio Ballante,https://orcid.org/0000-0002-4831-3423,Karolinska Institutet
Drug Discovery Group,Target identification,Flavio Ballante,https://orcid.org/0000-0002-4831-3423,Karolinska Institutet
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Flavio Ballante,https://orcid.org/0000-0002-4831-3423,Karolinska Institutet
Drug Discovery Group,Mechanism of action (MoA),Flavio Ballante,https://orcid.org/0000-0002-4831-3423,Karolinska Institutet
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Development Group,Analytical Techniques,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Development Group,Marketing authorization application (MAA),Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Development Group,Investigational new drug (IND) submission,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Development Group,Patient related documentation creation,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Communication and Project Management Group,Project communication and dissemination,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Communication and Project Management Group,Project management,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Discovery Group,Drug delivery,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Discovery Group,Drug Formulation,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Discovery Group,Biological discovery,Alicia Soler Cantón,https://orcid.org/0009-0003-5742-4971,EATRIS
Drug Development Group,Data management,Marc Jacobs,https://orcid.org/0000-0003-4153-3930,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project management,Marc Jacobs,https://orcid.org/0000-0003-4153-3930,Fraunhofer-Gesellschaft
Drug Discovery Group,High-throughput screening (HTS),Marc Jacobs,https://orcid.org/0000-0003-4153-3930,Fraunhofer-Gesellschaft
Drug Discovery Group,Mechanism of action (MoA),Marc Jacobs,https://orcid.org/0000-0003-4153-3930,Fraunhofer-Gesellschaft
Drug Development Group,Patient related documentation creation,Pan Pantziarka,https://orcid.org/0000-0002-4676-7835,Anti-cancer fund
Drug Development Group,Medical writing,Pan Pantziarka,https://orcid.org/0000-0002-4676-7835,Anti-cancer fund
Communication and Project Management Group,Project communication and dissemination,Pan Pantziarka,https://orcid.org/0000-0002-4676-7835,Anti-cancer fund
Drug Discovery Group,Target identification,Pan Pantziarka,https://orcid.org/0000-0002-4676-7835,Anti-cancer fund
Drug Development Group,Phase 3 trials,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Development Group,Phase 2 trials,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Development Group,Phase 1 trials,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Development Group,Clinical study design,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Communication and Project Management Group,Project management,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Discovery Group,High-throughput screening (HTS),Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Discovery Group,Mechanism of action (MoA),Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Discovery Group,Drug combinations,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Drug Discovery Group,Target validation,Alessandra Leone, https://orcid.org/0000-0002-1051-2937,Istituto Nazionale Tumori
Communication and Project Management Group,Project management,Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Medicinal chemistry,Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Target identification,Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,High-throughput screening (HTS),Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Mechanism of action (MoA),Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Hit confirmation | hit validation,Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Drug Discovery Group,Target validation,Annika Jensen, https://orcid.org/0000-0002-6053-8457,Karolinska Institutet
Communication and Project Management Group,Project communication and dissemination,Katja Herzog,https://orcid.org/0000-0002-1389-8118,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project management,Katja Herzog,https://orcid.org/0000-0002-1389-8118,Fraunhofer-Gesellschaft
Drug Discovery Group,Biological discovery,Katja Herzog,https://orcid.org/0000-0002-1389-8118,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project communication and dissemination,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Communication and Project Management Group,Project management,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Medicinal chemistry,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Target identification,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Biological discovery,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,High-throughput screening (HTS),Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Mechanism of action (MoA),Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Hit confirmation | hit validation,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Discovery Group,Target validation,Anna-Lena Gustavsson, https://orcid.org/0000-0003-4332-2336,Karolinska Institutet
Drug Development Group,Pre-clinical pharmacology,Judith Palou,,Teamit Research
Drug Development Group,Clinical study report (CSR) creation,Judith Palou,,Teamit Research
Drug Development Group,Phase 3 trials,Judith Palou,,Teamit Research
Drug Development Group,Phase 2 trials,Judith Palou,,Teamit Research
Drug Development Group,Analytical Techniques,Judith Palou,,Teamit Research
Drug Development Group,Market access,Judith Palou,,Teamit Research
Drug Development Group,Phase 1 trials,Judith Palou,,Teamit Research
Drug Development Group,Phase 4 trials and Pharmacovigilance,Judith Palou,,Teamit Research
Drug Development Group,Quality assurance (clinical trials),Judith Palou,,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Judith Palou,,Teamit Research
Communication and Project Management Group,Project management,Judith Palou,,Teamit Research
Drug Discovery Group,Medicinal chemistry,Judith Palou,,Teamit Research
Drug Discovery Group,Pharmacodynamics (PD),Judith Palou,,Teamit Research
Drug Discovery Group,Pharmacokinetics (PK),Judith Palou,,Teamit Research
Drug Discovery Group,Drug delivery,Judith Palou,,Teamit Research
Drug Discovery Group,Target identification,Judith Palou,,Teamit Research
Drug Discovery Group,Drug Formulation,Judith Palou,,Teamit Research
Drug Discovery Group,Mechanism of action (MoA),Judith Palou,,Teamit Research
Drug Discovery Group,Drug combinations,Judith Palou,,Teamit Research
Drug Discovery Group,Pro-drugs,Judith Palou,,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Berta Gumí Audenis, https://orcid.org/0000-0002-8917-0553,Teamit Research
Communication and Project Management Group,Project management,Berta Gumí Audenis, https://orcid.org/0000-0002-8917-0553,Teamit Research
Communication and Project Management Group,Project management,Martina Spadetto,,Teamit Research
Drug Development Group,Clinical statistics,Sofia Sintoris,,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Sofia Sintoris,,Teamit Research
Drug Discovery Group,Biological discovery,Sofia Sintoris,,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Federica Righi,,Teamit Research
Communication and Project Management Group,Project management,Federica Righi,,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Gisela Pairó,,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Ivette Corominas,,Teamit Research
Drug Development Group,Pre-clinical pharmacology,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Drug Development Group,Patient related documentation creation,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Drug Development Group,Medical writing,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Communication and Project Management Group,Project communication and dissemination,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Communication and Project Management Group,Project management,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Drug Discovery Group,In-vivo modelling,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Drug Discovery Group,Drug combinations,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
Drug Discovery Group,In-vivo efficacy evaluation,Sarai Rodríguez Navarro,https://orcid.org/0000-0002-7489-4532,Teamit Research
